name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000065,29.85,33.83,211.17,194.89,2.779,2.076,0.9725581086087179,0.2891693115234375,0.280029296875,1.1363525390625,0.9985814242458415,947493
sample_7000066,12.97,58.46,27.71,6.53,2.832,2.081,0.8506480029885726,0.857666015625,0.677978515625,483.9927978515625,0.9968814927456312,1252772
sample_7000067,28.6,29.69,186.68,23.25,2.277,2.353,0.6240802809136391,1.40850830078125,0.6646728515625,1011.84619140625,0.7487696512199321,1552648
sample_7000068,37.49,64.55,351.44,76.68,2.781,2.397,0.04287475636233426,551.9488525390625,6.807373046875,1444.0843505859375,0.9879740773354343,1279051
sample_7000069,60.9,72.18,181.58,34.69,2.092,2.213,0.032091307638287575,529.6461181640625,3.350830078125,925.171875,0.6192536985746132,733345
sample_7000070,3.41,17.39,181.66,72.7,2.042,2.182,0.9511059383866937,0.1800537109375,0.16954803466796875,2.993420124053955,0.9993489401626093,1861903
sample_7000071,69.9,2.93,152.95,125.19,1.67,2.746,0.01951693657808917,1069.654052734375,6.34765625,1600.522705078125,0.9405907341785756,1260290
sample_7000072,68.87,34.57,62.63,306.36,2.414,2.158,0.018401206027716843,583.812255859375,7.3737335205078125,1416.2705078125,0.9937030107229304,495511
sample_7000073,11.14,24.34,299.84,5.9,2.494,2.853,0.9341329441449276,0.19873046875,0.183349609375,703.75439453125,0.9994004230038553,1968541
sample_7000074,39.49,50.25,68.28,78.29,2.514,2.215,0.9568497519775852,0.2674560546875,0.25439453125,1.6310577392578125,0.9988742000939623,1486156
sample_7000075,39.98,4.29,154.4,90.34,2.234,1.89,0.9238505654851741,0.52606201171875,0.47010040283203125,349.55340576171875,0.9982337762248971,934242
sample_7000076,51.86,48.24,207.61,209.81,2.956,1.806,0.7518512188571449,1.243560791015625,0.7763671875,1445.69189453125,0.9974706885154646,573406
sample_7000077,46.32,28.14,4.7,196.63,2.377,1.932,0.633097420097485,1.37188720703125,0.6156005859375,1127.197265625,0.9200127271941644,1171052
