name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000081,41.69,64.58,95.11,185.87,2.069,1.596,0.017499215226669106,642.5386962890625,7.73455810546875,984.599609375,0.9776130171776874,1016217
sample_7000082,17.73,53.9,301.75,322.72,2.82,2.141,0.568586074938565,4.5709228515625,1.3759765625,1127.17724609375,0.9862008515101915,1229754
sample_7000083,58.54,1.11,214.28,266.88,2.384,1.674,0.0559145333223881,598.7464599609375,5.907325744628906,1529.66259765625,0.9641969529417884,426365
sample_7000084,28.17,66.25,144.94,256.88,1.826,1.656,0.027972430714232683,520.5968017578125,7.3642578125,1233.338623046875,0.9481000749970396,1441169
sample_7000085,1.03,22.53,301.68,136.59,1.605,2.24,0.9313455548973402,0.739990234375,0.68865966796875,28.578514099121094,0.9988700810185185,2071257
sample_7000086,14.74,8.19,105.74,183.48,2.475,1.749,0.9692419660992668,0.7152099609375,0.689208984375,4.000247955322266,0.9968925685592204,781812
sample_7000087,50.56,30.03,133.24,155.12,1.542,1.923,0.8355044639702245,1.1622314453125,0.91619873046875,1309.0279541015625,0.9962425734692959,1570687
sample_7000088,23.01,60.37,150.69,90.95,1.511,1.511,0.39212202393914103,198.08612060546875,2.3026123046875,1544.4046630859375,0.9879416075879669,1699142
sample_7000089,7.24,9.95,200.03,217.91,2.127,2.133,0.9367716125618593,0.48388671875,0.4493408203125,31.819488525390625,0.9986586080264994,1617786
sample_7000090,58.13,10.32,17.41,73.72,1.64,2.505,0.4242305399230109,160.63818359375,2.00823974609375,923.0908813476562,0.9507388129583383,1450855
sample_7000091,32.42,61.54,15.14,337.82,1.928,1.971,0.2809125900624987,219.12152099609375,2.76177978515625,829.7327880859375,0.9633458370499647,1541152
sample_7000092,43.11,12.61,198.55,206.97,1.711,1.916,0.9077824864557604,0.6737060546875,0.5953369140625,1506.1075439453125,0.9976023161353004,1534047
sample_7000093,71.32,34.63,42.89,85.65,1.966,2.407,0.014743686271135396,422.82159423828125,7.916534423828125,946.2622680664062,0.9568552179109316,743776
sample_7000094,50.51,73.0,72.65,245.12,1.722,1.581,0.02831404961413253,364.32720947265625,7.838409423828125,957.1240234375,0.49967830608720964,604223
sample_7000095,18.41,6.08,175.94,300.55,2.514,2.615,0.9393080875311669,0.462493896484375,0.4299163818359375,30.02764892578125,0.9983028995733275,1686485
sample_7000096,60.23,36.21,245.64,83.98,2.094,2.367,0.17821790790320616,480.7337951660156,2.82659912109375,1085.7108154296875,0.9636376382447922,1264626
sample_7000097,25.4,0.18,71.56,134.67,2.01,1.856,0.9728614486556143,0.41937255859375,0.4056396484375,2.1954689025878906,0.9976159277135211,1247819
sample_7000098,61.1,26.65,103.84,157.25,2.472,1.66,0.034396395899508374,438.1431884765625,8.153076171875,1220.2469482421875,0.9904156289805557,398879
sample_7000099,56.84,31.97,85.66,331.34,2.022,1.892,0.3769582570376046,156.17919921875,2.7225341796875,1345.8306884765625,0.9924473830053229,924036
sample_7000100,57.6,67.72,208.22,334.59,2.809,2.912,0.052038229261622604,188.3570556640625,7.697509765625,850.1537475585938,0.5570289620071386,561664
sample_7000101,42.19,28.97,216.7,106.06,2.576,2.376,0.6995308233600044,2.79571533203125,1.5604248046875,1438.3701171875,0.9938301606588362,1177808
sample_7000102,11.18,62.17,47.34,141.1,2.17,1.957,0.1701954119319429,272.56585693359375,3.976470947265625,818.0146484375,0.7241308173647893,1024963
sample_7000103,28.02,65.87,212.38,195.7,2.374,1.714,0.3833759955910134,226.27761840820312,2.11236572265625,836.3897094726562,0.954034493134631,1204812
sample_7000104,30.41,59.83,72.05,257.04,2.674,2.188,0.3264491686403693,222.97723388671875,1.9844970703125,1122.6414794921875,0.9432664528987664,1330832
sample_7000105,39.77,18.3,146.35,152.84,1.963,1.997,0.9377316921059872,0.546630859375,0.5062255859375,26.46493911743164,0.9976451631517971,1348503
sample_7000106,18.84,60.67,275.01,167.81,2.058,2.693,0.3517723445737642,224.578857421875,1.64556884765625,597.5753784179688,0.975062355412289,1941355
sample_7000107,2.92,15.02,275.59,217.79,2.309,1.862,0.9789751597347135,0.4361572265625,0.425323486328125,1.74658203125,0.9978820558373771,1087428
sample_7000108,53.25,47.59,39.68,277.2,2.222,1.53,0.07946366298359703,375.23553466796875,6.7608642578125,1026.40087890625,0.9643694984716559,708286
sample_7000109,53.19,28.04,92.86,359.74,2.451,2.875,0.7155086257264983,2.30816650390625,1.327880859375,1189.5802001953125,0.9957391952697872,1300760
sample_7000110,18.76,55.11,309.76,199.39,2.458,1.749,0.388819938634785,166.50244140625,1.915924072265625,758.9674682617188,0.9814657130138217,1086935
sample_7000111,58.76,32.16,94.91,237.34,2.055,1.836,0.3940211403427071,39.40135192871094,3.4571533203125,1291.296630859375,0.9946179586653803,880402
sample_7000112,46.96,27.88,93.98,291.54,2.333,1.954,0.7795930372197729,1.6315460205078125,1.0303955078125,1459.011962890625,0.9958376532756057,982596
sample_7000113,26.26,3.84,161.45,328.93,2.103,2.574,0.936316552928611,0.581787109375,0.5400390625,29.78240966796875,0.998505639828009,1824807
sample_7000114,30.73,23.84,182.35,156.34,1.764,2.145,0.9383817270020212,0.645751953125,0.6048583984375,21.67654800415039,0.9993873816081439,1938029
sample_7000115,74.65,70.19,222.02,162.9,1.877,2.015,0.07433462141748692,116.60321044921875,7.88995361328125,488.9347839355469,0.9454185795976853,358931
sample_7000116,8.97,2.83,215.75,231.01,1.796,2.19,0.9441072805215631,0.5621871948242188,0.5294189453125,12.43881607055664,0.9997945276837772,2072846
sample_7000117,3.95,20.47,120.5,201.5,1.688,2.721,0.8675296797673073,0.9720458984375,0.830810546875,222.55093383789062,0.9979451195987654,2069339
sample_7000118,43.54,55.68,80.43,358.15,2.495,2.699,0.363447630151748,217.34246826171875,2.52313232421875,756.3837890625,0.9844004003892596,1415175
sample_7000119,38.5,72.6,247.1,28.69,2.834,2.145,0.013275842227559983,439.8265380859375,7.451904296875,897.8934326171875,0.7363725613048805,816822
sample_7000120,51.76,66.36,48.25,259.36,1.875,2.87,0.013712552355388454,511.61212158203125,7.71832275390625,977.7938232421875,0.7576305835086099,1283058
sample_7000121,33.33,46.16,331.88,174.95,2.766,2.486,0.6476942970965776,2.4105224609375,0.9808349609375,760.9112548828125,0.9784677903931533,1340177
sample_7000122,20.85,25.5,60.51,1.13,2.286,2.533,0.9500491255437163,0.4552001953125,0.42791748046875,8.692901611328125,0.9985297488545687,1851379
sample_7000123,58.76,28.58,200.38,169.62,1.989,2.849,0.333741042021513,236.48101806640625,2.353271484375,1066.3687744140625,0.9758988931692046,1514153
sample_7000124,48.19,48.57,26.9,162.56,1.664,1.65,0.27520909041416575,229.95187377929688,1.85162353515625,819.4874877929688,0.9472541693291121,1175568
sample_7000125,57.75,47.45,58.31,233.83,2.774,1.89,0.38234385997012194,161.22705078125,1.6141357421875,762.4760131835938,0.9780825734343097,961909
sample_7000126,18.43,51.48,89.86,275.06,2.475,1.861,0.6863916695642626,3.2447509765625,1.71563720703125,1386.8564453125,0.9588402791625125,1202146
sample_7000127,10.72,52.39,238.8,46.44,2.249,2.824,0.2822918175490676,302.0396728515625,1.5528564453125,900.434326171875,0.962229077925332,1843323
sample_7000128,34.24,8.97,166.0,35.11,2.282,2.08,0.9083486885469557,0.643402099609375,0.565673828125,1504.3779296875,0.9975224715600722,1216742
sample_7000129,20.45,55.3,69.99,14.47,2.394,2.402,0.6746790521624881,1.59173583984375,0.8363037109375,726.1658935546875,0.9909494901608095,1705651
sample_7000130,11.18,48.48,164.6,205.43,1.815,1.702,0.793781953566966,1.1478271484375,0.824951171875,1096.027587890625,0.9937654622668529,1571812
sample_7000131,17.16,15.42,128.4,337.98,2.109,1.822,0.943291522428934,0.481048583984375,0.447021484375,18.035385131835938,0.9974012723370638,1247362
sample_7000132,9.02,13.91,28.92,165.13,2.153,1.595,0.9758427333304298,0.54962158203125,0.5330810546875,3.357769012451172,0.9974055986507809,918440
sample_7000133,35.75,10.97,262.36,64.68,2.903,1.779,0.5187076702824734,11.720123291015625,2.39849853515625,1344.830322265625,0.9944791143114734,508508
sample_7000134,35.4,67.45,358.75,134.81,2.015,1.856,0.05013674068684286,241.623291015625,7.695556640625,707.969970703125,0.7146020404774882,882327
sample_7000135,57.12,71.54,207.37,33.08,1.724,2.449,0.24671212484360466,194.78472900390625,2.0535888671875,515.0820922851562,0.5906290686537119,909554
sample_7000136,14.24,10.89,97.96,329.48,2.246,1.692,0.9677301866404932,0.54833984375,0.5266990661621094,3.7626590728759766,0.9976803645549165,908806
sample_7000137,73.4,43.08,305.14,217.86,1.573,2.897,0.0414021299385306,208.1868896484375,7.73040771484375,607.4093017578125,0.8619864318747442,732885
sample_7000138,33.73,32.15,294.27,314.92,1.934,1.886,0.9590917575531319,0.3795166015625,0.361328125,2.7687149047851562,0.9977657295235662,1500040
sample_7000139,10.71,14.98,37.46,194.63,1.908,1.726,0.9706534514478347,0.4169921875,0.40234375,2.132340669631958,0.9975652011386836,1387693
sample_7000140,59.75,42.71,346.04,347.12,1.769,2.469,0.8761861652073041,0.946533203125,0.7984619140625,376.5533447265625,0.9974376436835317,1707709
sample_7000141,18.23,14.57,117.43,253.06,1.836,1.606,0.9655281723223732,0.443206787109375,0.4249267578125,3.197551727294922,0.9976411691780526,1223985
sample_7000142,8.99,5.96,168.67,86.26,2.879,1.844,0.9358666805912201,1.3800048828125,1.267791748046875,14.981475830078125,0.9965441561343524,651128
sample_7000143,31.02,65.94,232.16,161.94,1.51,2.542,0.07087413831951488,180.76031494140625,7.57220458984375,455.73114013671875,0.7689995494981953,1531165
sample_7000144,63.43,5.39,288.54,338.55,2.043,1.638,0.026325768531194366,445.8477783203125,7.38189697265625,1299.15185546875,0.9705750252641823,466767
sample_7000145,35.33,38.49,224.43,169.92,2.301,1.751,0.8191875797231779,1.5782470703125,1.20892333984375,1339.928466796875,0.9941322107939164,988577
sample_7000146,67.53,19.61,309.6,253.23,1.716,1.575,0.02804005000427055,320.556396484375,7.9466552734375,1063.9345703125,0.9807992902305799,515156
sample_7000147,69.56,56.18,250.85,222.98,2.911,1.61,0.04028973982415525,415.96002197265625,7.208740234375,1361.55126953125,0.8864034925660754,311866
sample_7000148,33.27,32.61,298.94,20.55,2.383,1.869,0.8124338660828819,1.575876235961914,1.1771240234375,1440.4783935546875,0.9968943611341377,1014986
sample_7000149,23.7,4.08,49.35,349.71,2.145,1.934,0.9710907942165027,0.428955078125,0.414306640625,2.094482421875,0.9976670161185724,1207643
sample_7000150,41.1,22.24,201.48,288.81,1.616,1.791,0.7863063975194583,1.120849609375,0.7748794555664062,1537.702392578125,0.9953155015189754,1548694
sample_7000151,19.23,51.74,114.01,298.4,2.321,2.66,0.46358363808551667,29.74615478515625,1.1934814453125,920.8056030273438,0.9698632574161676,1777127
sample_7000152,51.56,62.33,113.07,211.66,2.629,1.861,0.037478218072016706,270.7952880859375,8.085830688476562,846.72705078125,0.8366653914374153,601416
sample_7000153,37.75,39.49,90.59,311.12,2.625,2.871,0.6710271572492335,2.9212646484375,1.82806396484375,1344.01806640625,0.8771721986745722,1369800
sample_7000154,39.06,26.3,108.94,76.75,2.601,2.09,0.9577779295575424,0.7631607055664062,0.7235107421875,6.483638763427734,0.9966589481011561,907748
sample_7000155,67.28,12.36,166.85,1.15,1.843,2.032,0.18711343400747826,384.26611328125,3.8573150634765625,1348.554443359375,0.9849501441095171,968140
sample_7000156,42.61,43.01,344.68,94.78,2.502,2.219,0.6138630141424614,4.24005126953125,1.458251953125,1336.7403564453125,0.9906088820846612,1234580
sample_7000157,19.33,16.04,121.75,143.75,1.65,2.635,0.9357491595289984,0.75225830078125,0.699737548828125,26.725799560546875,0.9991102430555555,2071755
sample_7000158,55.48,25.74,59.59,36.99,1.92,1.51,0.12393122631854188,405.5639343261719,5.004886627197266,1476.336669921875,0.9940060943621569,623378
sample_7000159,45.57,43.13,115.38,211.07,1.632,2.609,0.09743689384938205,455.72552490234375,5.16400146484375,1085.3272705078125,0.9844255163565085,1744719
